rank,model,avg_score,min_score,max_score,avg_time_s,ok,total,tier
1,qwen3.5:latest,0.9,0.5,1.0,18.9,10,10,
2,qwen2.5-coder:14b,0.892,0.5,1.0,33.4,10,10,
3,command-r7b:latest,0.875,0.25,1.0,13.4,10,10,
4,gemma4:12b,0.875,0.25,1.0,22.9,10,10,
5,gemma4:26b,0.867,0.25,1.0,30.4,10,10,
6,gemma:7b,0.859,0.5,1.0,7.6,10,10,
7,gemma4:latest,0.842,0.5,1.0,13.1,10,10,
8,wizardlm2:7b,0.834,0.25,1.0,10.5,10,10,
9,deepseek-coder-v2:16b,0.817,0.5,1.0,11.9,10,10,
10,qwen2.5:7b,0.817,0.5,1.0,11.8,10,10,
11,deepseek-r1:8b,0.817,0.5,1.0,13.8,10,10,
12,qwen3.6:35b,0.808,0.33,1.0,29.0,10,10,
13,qwen2.5:3b,0.8,0.25,1.0,30.9,10,10,
14,qwen2.5:14b,0.8,0.25,1.0,34.3,10,10,
15,qwen-fuso:7b,0.792,0.25,1.0,13.5,10,10,
16,nemotron-cascade-2:30b-a3b-q4_K_M,0.792,0.25,1.0,33.1,10,10,
17,serena-v6:latest,0.792,0.5,1.0,10.1,10,10,
18,phi4-mini:latest,0.792,0.25,1.0,7.3,10,10,
19,deepseek-r1:14b,0.792,0.25,1.0,33.6,10,10,
20,dolphin-llama3:8b,0.784,0.25,1.0,9.1,10,10,
21,qwen2.5:14b-instruct-q4_K_M,0.784,0.25,1.0,32.9,10,10,
22,hermes3:8b,0.775,0.33,1.0,10.4,10,10,
23,mistral-nemo:latest,0.775,0.25,1.0,16.0,10,10,
24,gemma4:e4b,0.767,0.25,1.0,14.2,10,10,
25,gemma3:4b,0.759,0.5,1.0,8.8,10,10,
26,dolphin3:8b,0.758,0.25,1.0,11.8,10,10,
27,devstral:24b,0.742,0.25,1.0,122.6,10,10,
28,codestral:22b,0.734,0.25,1.0,95.5,10,10,
29,cogito:8b,0.725,0.25,1.0,11.0,10,10,
30,qwen2.5-coder:7b,0.717,0.25,1.0,12.4,10,10,
31,hf.co/bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF:Q4_K_M,0.717,0,1.0,196.9,9,10,
32,phi4:latest,0.709,0.25,1.0,42.4,10,10,
33,nous-hermes2:latest,0.705,0.21,1.0,10.8,10,10,
34,qwen2.5:0.5b,0.683,0.25,1.0,2.3,10,10,
35,gemma:2b,0.625,0.25,1.0,6.7,10,10,
36,qwen3:4b,0.416,0.0,1.0,8.5,10,10,
37,starcoder2:15b,0.387,0.0,1.0,8.3,10,10,
38,gemma4:31b,0.342,0,1.0,122.4,5,10,
39,gpt-oss:20b,0.2,0.0,1.0,26.7,10,10,
40,llama3:text,0.086,0.0,0.5,4.2,10,10,
